clone_id,fragment_index,file_path,file_id,service,start_line,end_line,line_count,file_type,modified_commits,modified_count
22,2,ftgo-restaurant-service-aws-lambda/src/main/java/net/chrisrichardson/ftgo/restaurantservice/aws/AwsLambdaError.java,316,,14,29,16,logic,[],0
23,0,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/sagas/cancelorder/CancelOrderSaga.java,254,ftgo-order-service,48,55,8,logic,[],0
23,1,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/sagas/cancelorder/CancelOrderSaga.java,254,ftgo-order-service,62,69,8,logic,[],0
23,2,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/sagas/reviseorder/ReviseOrderSaga.java,259,ftgo-order-service,66,73,8,logic,[],0
24,0,ftgo-consumer-service/src/main/java/net/chrisrichardson/ftgo/consumerservice/api/ValidateOrderByConsumer.java,61,ftgo-consumer-service,47,61,15,logic,[],0
24,1,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/sagas/reviseorder/ReviseOrderSagaData.java,260,ftgo-order-service,33,48,16,logic,[],0
25,0,ftgo-delivery-service/src/main/java/net/chrisrichardson/ftgo/deliveryservice/domain/Delivery.java,91,ftgo-delivery-service,81,99,19,logic,[],0
25,1,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,279,ftgo-order-service,17,36,20,test,[],0
25,2,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,279,ftgo-order-service,21,40,20,test,[],0
25,3,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,279,ftgo-order-service,24,44,21,test,[],0
26,0,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/sagas/cancelorder/CancelOrderSaga.java,254,ftgo-order-service,48,55,8,logic,[],0
26,1,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/sagas/reviseorder/ReviseOrderSaga.java,259,ftgo-order-service,59,66,8,logic,[],0
26,2,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/sagas/reviseorder/ReviseOrderSaga.java,259,ftgo-order-service,80,87,8,logic,[],0
27,0,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/sagas/cancelorder/CancelOrderSaga.java,254,ftgo-order-service,55,62,8,logic,[],0
27,1,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/sagas/reviseorder/ReviseOrderSaga.java,259,ftgo-order-service,94,100,7,logic,[],0
28,0,ftgo-accounting-service/src/main/java/net/chrisrichardson/ftgo/accountingservice/domain/AuthorizeCommandInternal.java,11,ftgo-accounting-service,28,42,15,logic,[],0
28,1,ftgo-accounting-service/src/main/java/net/chrisrichardson/ftgo/accountingservice/domain/ReverseAuthorizationCommandInternal.java,13,ftgo-accounting-service,29,43,15,logic,[],0
28,2,ftgo-accounting-service/src/main/java/net/chrisrichardson/ftgo/accountingservice/domain/ReviseAuthorizationCommandInternal.java,14,ftgo-accounting-service,29,43,15,logic,[],0
28,3,ftgo-accounting-service/src/main/java/net/chrisrichardson/ftgo/accountservice/api/AuthorizeCommand.java,23,ftgo-accounting-service,28,44,17,logic,[],0
28,4,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReverseAuthorizationCommand.java,28,,29,45,17,logic,[],0
28,5,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReviseAuthorization.java,29,,28,44,17,logic,[],0
28,6,ftgo-api-gateway/src/main/java/net/chrisrichardson/ftgo/apiagateway/orders/OrderDestinations.java,34,ftgo-api-gateway,16,31,16,logic,[],0
28,7,ftgo-common/src/main/java/net/chrisrichardson/ftgo/common/Address.java,50,,41,55,15,logic,[],0
28,8,ftgo-common/src/main/java/net/chrisrichardson/ftgo/common/Address.java,50,,49,63,15,logic,[],0
28,9,ftgo-common/src/main/java/net/chrisrichardson/ftgo/common/Address.java,50,,57,71,15,logic,[],0
28,10,ftgo-common/src/main/java/net/chrisrichardson/ftgo/common/Address.java,50,,65,79,15,logic,[],0
28,11,ftgo-delivery-service-api/src/main/java/net/chrisrichardson/ftgo/deliveryservice/api/web/DeliveryStatus.java,111,,13,27,15,logic,[],0
28,12,ftgo-kitchen-service/src/main/java/net/chrisrichardson/ftgo/kitchenservice/domain/MenuItem.java,119,ftgo-kitchen-service,44,58,15,logic,[],0
28,13,ftgo-kitchen-service/src/main/java/net/chrisrichardson/ftgo/kitchenservice/domain/MenuItem.java,119,ftgo-kitchen-service,52,66,15,logic,[],0
28,14,ftgo-kitchen-service-api/src/main/java/net/chrisrichardson/ftgo/kitchenservice/api/CreateTicket.java,152,,19,33,15,logic,[],0
28,15,ftgo-kitchen-service-api/src/main/java/net/chrisrichardson/ftgo/kitchenservice/api/TicketLineItem.java,159,,24,38,15,logic,[],0
28,16,ftgo-order-history-service/src/main/java/net/chrisrichardson/ftgo/cqrs/orderhistory/web/GetOrderResponse.java,181,ftgo-order-history-service,39,53,15,logic,[],0
28,17,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/domain/DeliveryInformation.java,205,ftgo-order-service,51,65,15,logic,[],0
28,18,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/domain/MenuItem.java,208,ftgo-order-service,44,58,15,logic,[],0
28,19,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/domain/MenuItem.java,208,ftgo-order-service,52,66,15,logic,[],0
28,20,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/sagas/reviseorder/ReviseOrderSagaData.java,260,ftgo-order-service,42,56,15,logic,[],0
28,21,ftgo-order-service-api/src/main/java/net/chrisrichardson/ftgo/orderservice/api/events/OrderCreatedEvent.java,283,,23,37,15,logic,[],0
28,22,ftgo-order-service-api/src/main/java/net/chrisrichardson/ftgo/orderservice/api/events/OrderCreatedEvent.java,283,,31,45,15,logic,[],0
28,23,ftgo-order-service-api/src/main/java/net/chrisrichardson/ftgo/orderservice/api/web/CreateOrderRequest.java,290,,52,66,15,logic,[],0
